id,eje_x,eje_y
0,1451.1884569194067,402.18850319302044
1,1440.0446194039246,416.9187083967929
2,1428.730508975018,419.74982841283895
3,1456.7794879586781,414.2259992569801
4,1493.1953430175781,449.038443841823
5,1567.725279637348,438.16940899488986
6,1562.472298103548,475.20446456197647
7,1488.1691715596717,441.61639427489354
8,1437.0354052792495,449.70252118129224
9,1403.003605052191,452.25146352734555
10,1357.6839810679396,434.87544035633255
11,1345.982024920126,440.68576965628904
12,1393.3686453080827,441.26276968796424
13,1481.5471558255445,427.12375408202297
14,1488.5964254460912,422.87368097750596
15,1531.9080552238436,431.30622658377035
16,1537.2852557364142,446.36091009559345
17,1471.0366954135525,425.1942199825777
18,1430.4140276714058,340.0551864683397
19,1416.8688640520268,304.8756437338744
20,1416.8688640520268,304.8756437338744
21,1578.9390778263257,267.33960662834374
22,1590.4771413320698,302.85241546705083
23,1590.8534270780096,312.7284487434863
24,1497.3668198641174,454.1115082562667
25,1475.004687476251,500.82969897730345
26,1523.8242800597552,561.7120782930101
27,1523.5401092336335,608.3048555405687
28,1495.2549310973648,593.7076144724042
29,1420.463942275437,602.6758682259326
30,1362.936251822149,614.5855779527226
31,1323.5532749023885,620.191100281964
32,1220.1128494878687,489.92575984335144
33,1189.2971391343885,425.4085871867169
34,1219.4581020666933,361.8096228374118
35,1219.4581020666933,361.8096228374118
36,1327.5794257449734,280.00662845581894
37,1351.7036710731716,284.5381649904215
38,1356.30688945607,289.1650393259665
39,1356.30688945607,289.1650393259665
40,1356.30688945607,289.1650393259665
41,1356.30688945607,289.1650393259665
42,1356.30688945607,289.1650393259665
43,1356.30688945607,289.1650393259665
44,1356.30688945607,289.1650393259665
45,1356.30688945607,289.1650393259665
46,1356.30688945607,289.1650393259665
47,1356.30688945607,289.1650393259665
48,1356.30688945607,289.1650393259665
49,1356.30688945607,289.1650393259665
50,1227.8282918818732,414.07528934590084
51,1171.833259029611,472.2291809522226
52,1182.7504193272573,486.4034460611381
53,1191.808325632073,471.23709268293965
54,1191.808325632073,471.23709268293965
55,1434.5876366363889,514.0181776614504
56,1429.874657007507,498.9294945664908
57,1332.7959715624265,472.1146007786697
58,1303.0823688098894,470.16244423238686
59,1267.1017118001264,474.6132202939302
60,1204.9534820629,465.00027552374604
61,1158.112949712731,434.82173304242383
62,1083.3540065076334,455.2074450240525
63,1107.9287167189186,499.20914858881133
64,1099.3519592841776,587.2516846021326
65,1090.4994387570987,702.6691651251531
66,1049.3293539559331,720.5716536499647
67,1020.8938836123693,693.7536099318866
68,1037.7727951984925,710.2388441128953
69,1049.7557194780284,712.60165355514
70,1046.156708832381,700.6109637926525
71,1057.8622695536928,715.9128404456819
72,1048.8560144075625,698.5816142252911
73,1081.8207656421087,551.9263672661689
74,1090.2760389250077,465.7189719352277
75,1121.3353435353083,422.0571513342951
76,1115.3715000078373,417.57789010667625
77,1095.095662152257,387.6511674539589
78,1109.6288257071944,397.9992198406027
79,1140.7990956584767,416.09351616981894
80,1155.8930541754696,346.53263524070326
81,1177.5149675658706,305.4965492389546
82,1177.2939252482315,332.6215573971374
83,1207.8428680794714,310.53394751047813
84,1217.3873512661412,338.7119974802441
85,1214.5355951461347,291.72779912800183
86,1295.7303696569302,281.84077890188314
87,1277.5393298627803,262.04217565106046
88,1252.6014415206614,225.97907141720748
89,1252.6014415206614,225.97907141720748
90,1252.6014415206614,225.97907141720748
91,1252.6014415206614,225.97907141720748
92,1429.2391292779828,183.11553736141218
93,1443.610917223103,189.83527570939714
94,1433.4389584305686,190.67340890535593
95,1426.2613250123852,250.1339693551862
96,1368.2151417787902,262.50760435501434
97,1368.2151417787902,262.50760435501434
98,1368.2151417787902,262.50760435501434
99,668.819499108578,222.00476105018356
100,687.8517881905523,207.71559634375672
101,654.4938452976687,223.4993212826057
102,533.5829413818478,229.3837454778212
103,533.844120493195,229.39409666580912
104,516.5090267760281,220.06592419639173
105,531.9283205247575,255.8044963337568
106,599.4946485827405,226.93535488403268
107,599.4946485827405,226.93535488403268
108,599.4946485827405,226.93535488403268
